   ERROR: 2024-10-31 03:21:02,755:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:37: #2-les-outils: No such file or directory
   DEBUG: 2024-10-31 03:21:02,756:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,756:      pdf_renderer.py:  470: printSegment: 2.1. Les éditeurs de texte
   ERROR: 2024-10-31 03:21:02,757:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:38: #21-les-%C3%A9diteurs-de-texte: No such file or directory
   DEBUG: 2024-10-31 03:21:02,757:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,758:      pdf_renderer.py:  470: printSegment: 2.2. Les IDEs
   ERROR: 2024-10-31 03:21:02,758:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:39: #22-les-ides: No such file or directory
   DEBUG: 2024-10-31 03:21:02,758:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,759:      pdf_renderer.py:  470: printSegment: 2.3. Les debuggers
   ERROR: 2024-10-31 03:21:02,760:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:40: #23-les-debuggers: No such file or directory
   DEBUG: 2024-10-31 03:21:02,760:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,760:      pdf_renderer.py:  470: printSegment: 2.4. Environnement Python
   ERROR: 2024-10-31 03:21:02,761:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:41: #24-environnement-python: No such file or directory
   DEBUG: 2024-10-31 03:21:02,761:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,762:      pdf_renderer.py:  470: printSegment: 2.4.1. Concept de l
   DEBUG: 2024-10-31 03:21:02,762:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-10-31 03:21:02,763:      pdf_renderer.py:  470: printSegment: environnement virtuel
   ERROR: 2024-10-31 03:21:02,763:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:42: #concept-de-lenvironnement-virtuel: No such file or directory
